sentence,tipo
To allow for grandfathering scenarios or implementation of new policies where certain applicationspermits need to follow a new business rule and others follow an existing process.,fr
The system shall have the ability to associate workflow tasks to a role in the system workflow task is always assigned to a Site Plan Reviewer according to business rules configurable in the system.,fr
The system shall have the ability to prevent or allow workflow task execution by a user according to the rolebased security assigned to the user in the system.,fr
The system shall support individual user account work queue assignment workflow task is assigned to one individual.,fr
The system shall support departmentbased work group assignment workflow task is assigned to the Zoning Administration Department.,fr
The system shall support the automatic assignment of a workflow task to one or more users according to business rules and other factors employee skill sets availability locationdistricts.,fr
The system shall support identification of reviewing agencies by pinpointing the affected property on a map and identifying responsible authorities planning districts zoning adjoining jurisdiction flood zone supervisor district etc. and support automatic assignment of the task to those users per business rules.,fr
The system shall allow for multiple workflows to be configured in the system that differ across individual business areas according to their requirements workflow assignment rules differ by department.,fr
The system shall allow authorized users to claim an active workflow task either assigned or unassigned for themselves and execute it immediately does not require an assignment or reassignment step.,fr
The system shall support multiple tiers of assignment of reviews an application is first assigned to one individual who then forwards the application to others in that reviewing group to review.,fr
The system shall support manual and automated reassignment of a workflow task from one user to another according to business rules.,fr
The system shall support the manual or automated bulk reassignment of workflow tasks from one user to another according to business rules.,fr
The system shall be able to capture the reason for reassignment,fr
The system shall enforce a workflow routing list definition that supports if..then logic.,fr
The system shall allow documents to be sent electronically according to defined routing lists and business rules as part of a workflow task or a communication notification.,fr
The system shall provide the ability to designate a secondary approver who is authorized to access the queue and complete a task on behalf of a primary approver when the primary reviewer is unavailable Supervisors designee is authorized to approve an application.,fr
The system shall provide the ability to incorporate checklists into the workflow process based on the transaction type andor record type plan review.,fr
The system shall provide the ability to configure checklists at the role level each reviewer may have a distinct checklist per review task.,fr
The system shall allow a reviewer to have their own workflow task with their own due date and timeline which may be different from other reviewers due date and checklist assigned to the same task.,fr
The system shall provide the ability to perform automatic approval when transactions meet defined criteria some permits can be issued automatically via the online portal once payment is made.,fr
The system shall have the ability to maintain query and display a list of tasks that have been assigned to a given user in the system Task list.,fr
The system shall provide the ability for a user to view andor quickly access the last work list items the user was working on.,fr
The system shall allow the adhoc sorting and filtering of their task list.,fr
The system shall support configurable workflow task due dates based upon either calendar OR business days task is always due 10 days from task assignment response required within 2 business days.,fr
The system shall support configurable workflow task durations.,fr
The system shall support workflow task assignment rules that follow First In First Out FIFO approach.,fr
The system shall allow a workflow task to be prioritized over other tasks in the work queue Supervisor flags a workflow task to be addressed first in a Plan Reviewers queue.,fr
The system shall allow a workflow task to be expedited and the related due dates updated with the accelerated timeline.,fr
The system shall allow application packages to be expedited by the Supervisor or System according to business rules for that record type or other trigger so that it is flagged is indicated by highlighting or appears first in the Reviewer s queue for expedited processing.,fr
The system shall capture planned vacations or out of office information for staff to help inform assignments.,fr
The system shall support workflow tasks that do not need to be assigned if a user dataenters an application he or she should not have to assign it to themselves to be able to process it.,fr
The system shall support status changes for a record that is driven by the change in status of its underlying workflow tasks overall record status updates to Under Completeness Review once the Completeness Review task is assigned to a staff member.,fr
The system shall support status changes for an individual workflow task.,fr
The system shall support the automatic update of a status change for a workflow task.,fr
The system shall support the manual update of a status change for a workflow task.,fr
The system will support workflow associated with placing a hold on the record including preventing certain types of tasks to be executed in the system if a hold is on a particular record cannot issue a Certificate of Occupancy if there is a hold related to an open code enforcement case.,fr
The system will enforce business rules associated with a hold type such as the conditions for triggering or removing a hold and the associated results of applying the hold in the system.,fr
The system will enforce user permissions associated with a hold type only certain types of users may apply and remove holds.,fr
The system shall have the ability to manually place or remove a hold condition on the record application project customer location that prevents a record from advancing in the workflow until the related issue is resolved.,fr
The system shall have the ability to automatically place or remove a hold condition on the record application project customer location according to configured business rules in the system.,fr
The system shall support multiple hold types with varying levels of severity and associated business rules.,fr
The system should support hold types that may be related to preventing the issuance of a permit until all plan reviews have been logged as approved in the System only affects that particular application.,fr
The system should support hold types that may be placed on the Applicant record that may affect all applications associated with that Applicant.,fr
The system shall have the capability to apply multiple holds at one time put a hold on a contractor person record and all the projects associated with the contractor.,fr
The system shall have the ability to support a scenario where there are multiple itemsissues that need to be addressed prior to release of the hold and they should be individualized holds which can be removed individually and only when the last item is completed will the hold be able to be lifted.,fr
The system shall provide a structured template to capture conditions of the hold such as reasons for the hold instructions for the Customer and Staff on how and when to remove the hold including any documentsinformation that needs to be provided to release the hold and any internal notes or comments.,fr
The system shall be able to populate the structured template to capture conditions of the hold with information already in the system such as the approved proffer language associated with the hold.,fr
The system shall have the ability to publish any hold information to the customer portal as well as notify the customer and any other designated contacts of the hold based on business rules.,fr
The system shall be able to notify designated Staff Members associated with the hold that action in the System has taken place on the affected record in order for them to manually remove the hold.,fr
The system shall remove any workflow restrictions from the Customer s account andor related location property address Parcel Pin project etc. once the hold is lifted.,fr
The system will allow review clocks to be stopped when a hold is placed and allow review clocks to be restarted when the hold is removed.,fr
The system shall support configurable notifications email text message etc. that are triggered at various stages of workflow or other conditions according to business rules email generated to the Customer when their application is approved.,fr
The system shall support configurable alerts visual indicators displayed in the system that are triggered according to business rules record turns red on the screen to indicate a workflow tasks duration has exceeded a predefined threshold.,fr
The system shall support the capability to flag a property or user record manually or automatically according to business rules and send notifications to identified Agency Staff alerting them when a plan andor developmentpermitting application has been submitted for review.,fr
The system shall provide configurable escalation capabilities if a workflow tasks duration has exceeded a predefined threshold the system will execute a predefined action such as generation of a Review Task for a Supervisor.,fr
The system shall provide the ability to perform internal realtime message routing to broadcast information to a predefined group of users all assigned reviewers to a cancelled application are notified of the cancellation once it is processed in the system.,fr
The system shall allow internal users to configure his or her notification settings would like to receive an email notification when a workflow task is assigned to him.,fr
The system shall allow external users to configure his or her notification settings would like to receive an email when a status update occurs on their application.,fr
The system shall allow staff to indicate the methods of communication email batch mailing user selected preference etc.,fr
The system shall be able to send out one communication multiple ways both email and mail.,fr
The system shall have the ability to send out mass emails according to business rules.,fr
The system shall support the batch generation of communications for printing and mailing.,fr
The system shall be able to track the date and time communications were sent from the system email mailings faxes etc. automatically.,fr
The system shall be able to track the date and time communications were sent from the system email mailings faxes etc. that were performed manually.,fr
The system will allow Staff to track undeliverable communication mail email etc. in the System and related activity attempts to resend the communication contacting the applicant to update his or her contact information changing applicants communication preferences in the system nonsystem generated correspondence.,fr
The system shall be able to track returned mail email and letters including the datetime it was returned reason identified as why it was undeliverable etc.,fr
The system shall be able to resend communications.,fr
The system shall be able to track how many times a communication was sent or resent.,fr
The system shall support transmittal of any information for large batch communication generation andor mailing batch generation of invoice notices,fr
The system shall preserve a copy of the communications generated from the system email letters forms etc. and associate it with the relevant records.,fr
The system should support Staff to be able to select recipients of the communication from stored contacts in the system .,fr
The system shall have the capability to generate and manage multiple document template types including but not limited to the following Forms Letters Licenses Permits Certificates Emails.,fr
The system shall have the capability to save drafts of generated documents as part of an automated work flow and manually by the user,fr
The system shall allow multiple staff to access and collaborate on a document in the system.,fr
The system shall track the users who edited the document and the datetime of changes.,fr
The system shall be able to track whether a document has been sent to a Customer and datetime sent.,fr
The system shall have the capability for staff to customize document templates edit a letters standard contents prior to sending to the Customer.,fr
The system shall have the capability to automatically prepopulate templates with data from the system.,fr
The system shall have the capability to allow staff to manually select data to populate templates from data sets in the system.,fr
The system shall allow a user to upload documentation online via the customer portal.,fr
The system shall allow staff to upload documentation submitted in paper format that has been scanned into the system.,fr
The system shall allow personnel to upload files and attach them to a record in the system.,fr
The system shall have the ability to upload multiple versions of the same document and maintain version control.,fr
The system shall provide a way to differentiate between multiple versions of the same document through a naming or numbering convention configurable by the Agency.,fr
The system should support uploading of documents for information purposes only .,fr
The system shall capture metadata regarding the upload such as the date and time the documentation was uploaded.,fr
The system shall have the capability to enforce or automatically generate document naming conventions.,fr
The system shall provide staffdefined template fields to allow users to provide key metadata during the document upload process document name document description.,fr
The system shall have the ability for a user to indicate the document type they are submitting.,fr
The system shall have the ability for a user to indicate the document they are submitting is a new version of a previously submitted document.,fr
The system shall allow a user to indicate they are uploading a component of larger package uploading 1 sheet that is part of a larger plan set.,fr
The system shall have the ability to associate documentation with one or more records in the system according to business rules an application a project a transaction etc.,fr
The system shall have the ability to display uploaded documentation or plans in a thumbnail or similar view format.,fr
The system shall provide an option for the user to view all uploaded files prior to formal submission to ensure quality of upload.,fr
The system shall provide a mechanism for the user to track the inprogress status of the document upload upload window that incrementally increases based on percentage complete of the upload.,fr
The system shall have the capability to export documents and reports from the system print fax email.,fr
The system must retain the document s scale when it is printed.,fr
The system must retain the document s scale when it is vieweddisplayed in the system.,fr
The system shall be able to generate documents such as receipts permits licenses letters certificates etc. that can be posted to the customer portal and available for printing by the user.,fr
The system shall support the automatic identification of records of project information plans and other supporting documents according to the record retention policies configured in the system that may be eligible for archiving or deletion.,fr
The system shall allow for the automatic deletion of project information plans and other supporting documents according to the record retention policies configured in the system or as deemed appropriate by the agencys business process.,fr
The system shall have the capability to search for a document by document attributes document name date sent related application etc.,fr
The system shall have the ability to overlay documents with watermarks.,fr
The system shall have the ability to overlay documents with text Approved .,fr
The system shall support electronic signature via the online portal click to sign initial and date indicates electronic signature.,fr
The system links the electronic signature to the documents being signed if appropriate.,fr
The system can apply an electronic signature obtained out in the field via a mobile device to the document they are signing property owner signs the inspection report out in the field electronically.,fr
The system shall have the capability to capture electronic certification agreement with terms and conditions.,fr
The system shall have the ability to capture seals authorized inspector seal electronically.,fr
The system shall support electronic notarization.,fr
The system shall have the ability to visually indicate to a supervisor if performance metrics are approaching or have surpassed configured targets.,fr
The system shall allow a Supervisor to view all staff previously assigned to a projectapplication.,fr
The system shall allow the Supervisor to drill down into specific sections of the project as necessary to view details associated with the project inspections.,fr
The system shall display the application processor workload schedules supported through any necessary 3rd party calendaring systems like Google Calendar or Microsoft Outlook.,fr
The system shall provide electronic notifications to the Supervisor before and when predefined performance parameters are exceeded on certain applications or when notable events occur on certain applicationsplans.,fr
The system shall be able to determine a staff members availability through the combination and calculation of multiple factors example of criteria below.,fr
Expected duration of assigned tasks.,fr
Availability indicated on a calendar.,fr
The System shall provide a smart calendar to forecast dates for timelines and assist the Supervisor in assigning workloads accordingly.,fr
The system shall provide a wide range of adhoc searching capabilities to support business needs such as searching at the project license application location or person level according to various attributes and multiple search criteria.,fr
The system shall provide the ability to search all data in the system by keyword,fr
Searches must not be case sensitive.,fr
The system shall support robust search capabilities for Staff and Customers searching zoning ordinance and proffer interpretation requests zoning compliance letters and additional time requests keyword search location searches version searches etc.,fr
The system shall support robust search capabilities for Staff and Customers searching plan ordinance information keyword search location searches version searches etc.,fr
The system shall support sorting of displayed records based on their attributes.,fr
The system shall support filtering of displayed records based on their attributes.,fr
The system shall be able to save a search as a template to easily retrieve and execute in the future.,fr
The system shall be able to export search results in Microsoft Excel format.,fr
The system shall be able to export search results in .pdf format.,fr
The system shall be able to save search results in the system.,fr
The system shall prevent the user from executing a large query or report that will exceed the predefined threshold for the number of results returned that may impact system performance if the report is run except by authorized users administrators and report servers.,fr
The system shall provide options for suggested searches if a search does not return a search result.,fr
The system shall be able to provide contact information for the related Agency office if a search does not return a search result if user is searching the customer portal for a particular topic such as building inspections the system shall be able to provide contact information for the building inspections department.,fr
The system will have the ability to create a user name and temporary user password when a Customer account is created.,fr
The system will send a email to the new user account using the email entered into the new user account that the account is ready for activation.,fr
The system will be able to include the users user name and temporary password in the activation email.,fr
The system will be able to include an activation link in the activation email.,fr
The system shall flag inactive accounts according to business rules.,fr
An authorized user shall have the ability to deactivate andor suspend user accounts.,fr
An authorized user shall have the ability to create and modify user accounts,fr
The system shall prevent the creation of an account according to predefined business rules account already exists for that individual.,fr
The system shall provide a mechanism where an internal or external user can reset their forgotten password.,fr
The system will allow for staff to merge records to prevent duplicate Customer accounts.,fr
The system shall support a GIScentric approach to tracking locationspecific planning zoning permitting development and code violation activities in the system.,fr
The system shall support a GIScentric approach to address management leverage a GIS system to organize all locationbased information including but not limited to addresses Parcel pin number proffers etc.,fr
The system shall be able to validate information captured in the System or provided by an Applicant against the Agencys GIS Central Data Repository address is located within Agency.,fr
The system shall be able to validate the eligibility of a transaction in the system according to business rules based on GIS data environmental constraints while allowing authorized users the ability to override.,fr
The system shall be able to trigger workflow tasks according to business rules configured in the system based on GIS data trigger required Agency andor departmental reviews based on the geographical boundaries.,fr
The system shall be able to generate and print custom reports from the system that include GIS data and mappings.,fr
The system will support the addressing of locations.,fr
The system shall be able to track location information in the system using the unique identifier for the address.,fr
The system shall be able to associate filesdocuments with an address pin legal description and other parcel identifiers including nonaddressed locations such as easement proffer,fr
The system shall be able to track location by one or more components of a secondary address suite apartment building floor etc.,fr
The system shall be able to track the legal description associated with a location by the Assessors Office see Interface requirements.,fr
The system shall be able to track information in the system by County PIN numbers parcel identification numbers based on geographic location or a polygon indicated by the user,fr
The system shall be able to track information in the system by GIS Points eg addressstreet intersection points.,fr
The system shall be able to support tracking parcel information by the Agencys Parcel Pin Numbers which include leading 0s in the identifier,fr
The system should recognize and remove embedded spaces or hyphens input by the user and reduce pin to just numerics.,fr
The system shall be able to track location information as longitude and latitude.,fr
The system shall be able to track location information as a GIS pin on a map.,fr
The system shall be able to allow staff to indicate when the mailing address for an application differs from the actual onsite location associated with the permitted activity.,fr
The system shall be able to track information as a point address point intersection of latlong etc.,fr
The system shall be able to track information as a line or lines road sections rightofway etc.,fr
The system shall support tracking location information on areas outside of the Agency as needed to support business operations.,fr
The system shall be able to track the location of fire lanes.,fr
The system shall be able to track records in the Right of Way address point permit easement etc.,fr
The system shall be able to track easements.,fr
The system shall be able to track the location of septic systems and wells for the Health Department to issue septic system and well permits.,fr
The system shall be able to track government state federal facility addresses.,fr
The system shall be able to track multiple addresses on a parcel OR a building including suites and track an item at any address level.,fr
The system shall support the creation of addressing information in the System including addresses for areas outside of the Agency.,fr
The system shall support the temporary addressing of a location according to business rules by Parcel pin.,fr
The system shall prevent workflow from advancing to a certain point according to business rules if a location is not assigned a valid parcel number and address.,fr
The system shall provide a mechanism to track nonaddressable locations in the system.,fr
The system shall allow issuance of a permit that does not require an exact address retaining wall.,fr
The system shall capture location information that is not an address but can help inform the location of permitted work for inspectors notes related to the location.,fr
The system shall be able to track a location with multiple address points and one Parcel pin number.,fr
The system shall be able to track a location based on the level in the mall upper level.,fr
The system shall be able to track the history of addressing for a location.,fr
The system shall be able to track parent and child relationships for parcels and addresses provided by the GIS system.,fr
The system shall be able to support the change in Parcel pin numbers through an interface with GIS Parcel pin numbers change when a property is subdivided and the new parcels created are assigned a new Parcel pin number.,fr
The system shall be able to provide a suggested address if the address provided by an Applicant does not have an exact match in the system.,fr
The system shall support the change of address for a location in the system.,fr
The system will track any change in sizes and locations of buildings and suites.,fr
The system will preserve the history of a building or suite what it used to be versus what it is now.,fr
The system shall support the processing of a request for a change of address and track all related information.,fr
The system shall trigger any associated workflow activities related to a change of address including required reviews inspections and fees and submissiontracking of the board package submission.,fr
The system shall support the change of a street name in the system.,fr
The system shall be able to provide a workflow and track requests for information and staff responses about addressing address verification requests suite numbering questions availableeligible street names for a subdivision.,fr
The system shall be able to store notificationsfiles from the Courthouse or the Commissioner of the Revenue related to new addresses that need to be updated in the system.,fr
The system shall prevent duplicate addresses street names and subdivisions from being added to the system through the COR interface if a new address was manually entered into the system during the day and the mapping address registry interface runs at night the system will prevent both the manually entered address and the address generated from the interface to be in the system at the same time.,fr
The System shall provide Tool Tips whenever feasible providing messages andor assistance as the user hovers over elements of the graphical interface.,fr
The system shall have the ability to trigger all required downstream workflow related to the issuance of a permit such as inspections configurable by permit type.,fr
The system shall provide a robust online portal capable of processing all online application types and their associated workflow and business rules.,fr
The system shall have the ability to configure all necessary application content data entry fields help text submittal requirements etc. on all screens in the system.,fr
The system shall be able to clearly indicate which fields were completed by a Customer and which fields were completed by Staff in the System.,fr
The system shall clearly indicate which fields must be completed before the user can advance to the next screen.,fr
The system shall have the ability to enforce the creation of a user account prior to specific transactions being performed online.,fr
The system shall have the capability to allow specific transactions to be performed without a user account.,fr
The system shall allow users to search data in the system that has been flagged as displayable to the public via the customer portal without being logged in.,fr
The system shall allow users to view GIS maps without having the user being logged into the GIS.,fr
The system shall allow users to execute queries related to GIS data search Zoning Map without having the user being logged into the GIS.,fr
The system shall allow authorized users to search proffer data in the system proffer description milestonestriggers after logging in.,fr
The system shall allow users to view information related to departmental news and other updates that are posted to the customer portal without being logged in a news ribbon or bulletin board.,fr
The system shall provide external links to Frequently Asked Questions FAQ pages that the customer can select without being logged in.,fr
The system shall provide Contact Us links that the user can select to submit an electronic message to Agency staff without being logged in.,fr
The system shall provide a standard template for submitting a Contact Us request to assist support in the categorization and routing of these messages to relevant Agency staff.,fr
The system shall provide robust query options for nonlogged in users to search publicly available information stored in the system research on Agency parcels ordinances departmental processes and services application submission requirements as well as data stored in the System that is public information such as approved plan packages issued permits complaint cases etc.,fr
The system shall provide an option for users to search for and view projectspecific information without being logged in application status plan review status plan review comments.,fr
The system shall provide an option for users to search for a particular location to see active applications for rezonings permits etc. in a designated geographical area on an interactive map that displays active projects Whats going on in my neighborhood.,fr
The system shall return relevant data that matches search criteria entered by the user via the online portal additional searching and reporting requirements are included in the General Tab.,fr
The system shall allow the data returned in the online portal searches to be exported out of the system downloaded in Excel format if request is allowable not all information requests should be downloaded.,fr
The system shall allow the data returned in the online portal searches to be printed from the system if request is allowable not all information requests should be printed.,fr
The System shall be able to generate a popup window that surveys the Customer at defined points in the lifecycle of their project according to Agency business rules on their experience and provide a section for customer comments.,fr
The system shall support submission of a Freedom of Information Act FOIA request that is supported through configurable workflow and business rules for processing by staff in the system.,fr
The system shall provide appropriate online help features chat email phone contact information at all points in the application lifecycle.,fr
The system shall provide an online tool that is available to customers without logging in that will provide an interactive experience for the Customer providing both general information as well as information tailored to the Customer s needs that will guide them through the application process Select a Service wizard.,fr
The systems Select a Service wizard shall be configured with a decision tree and other wizardlike functionality that allows prospective applicants to select their services based on a stepbystep smartly configured collection of data based on the project service or application that the Customer is interested in.,fr
The system shall have the ability to prompt a user to respond to a series of questions to guide an applicant to select the appropriate service offering provided by the Agency that is similar to the questions that Intake Staff would ask a Customer in person.,fr
The system shall present a structured and guided series of questions that reflect a predetermined decision tree to assist the user in selecting a service turbo tax style prompts and formfill features.,fr
The system shall allow the user to provide specific information related to their project based on the questions asked by the wizard tool.,fr
The system shall allow the user to indicate the location of their project including parcel address or GIS coordinates or select the location from a map.,fr
The system shall retrieve relevant and publicly displayable locationbased data that could inform the Select a Service wizards responses.,fr
The system shall retrieve relevant data to guide the user to understand Comprehensive Plan information relevant to their project as part of the Select a Service wizard.,fr
The system shall retrieve zoning information relevant to the users project as part of the Select a Service wizard.,fr
The system shall retrieve proffers and development conditions as well as any relevant information such as documentation andor a case number relevant to their project as part of the Select a Service wizard.,fr
The system shall retrieve publicly available existing site and subdivision dataplans relevant to their project as part of the Select a Service wizard.,fr
The system shall allow an authorized user to retrieve existing permits relevant to their projects as part of the Select a Service wizard.,fr
The system shall allow an authorized user to retrieve existing occupancy permits relevant to their projects as part of the Select a Service wizard.,fr
The system shall retrieve existing use information relevant to their project as part of the Select a Service wizard.,fr
The system shall retrieve existing code enforcement case information that is designated for public viewing relevant to their project as part of the Select a Service wizard.,fr
The system shall present a structured and guided series of questions that can provide a dynamic and interactive Frequently Asked Questions FAQ tool where detailed information can be provided to the user such as an overview of processes and submission requirements and tips based on the data entered andor options selected by the user.,fr
The system shall notify the applicant if the information entered does not return any results for services or if the specifics of the project exceed the complexity the wizard can handle and provide information on how to contact Intake Staff for further assistance.,fr
The system shall provide a mechanism for the user to submit a request to Agency staff for manual handling if the information entered does not return any results for services or if the specifics of the project exceed the complexity the wizard can handle.,fr
The system shall provide a structured template for a user to submit a request for Agency assistance prompt the user to log in or enter contact information.,fr
The system may provide a hyperlink to the user that directs them to a department webpage FAQ page or other external site that provides detailed information regarding their query.,fr
The system shall provide a final set of information that answers the Customer s question andor directs them to an appropriate application type they should submit,fr
suggests one or more recommended services application types or other online transaction options based on information entered by the applicant.,fr
The system shall provide an option for the user to initiate the application process directly from the Select a Service wizard tool and launch the appropriate application form from the Select a Service wizard tool user should not have to remember the application type recommended by the wizard and select the form to apply for again as part of the application process.,fr
The system shall prepopulate the launched application form with any information entered into the Select a Service wizard that also appears on the application form project location.,fr
The system shall prompt the user to log in to the system when initiating the application process.,fr
The system shall be able to provide an overview of the steps in the application process for the recommended application type such as submission requirements departments involved expected timelines and associated fees.,fr
The system shall be able to notify the user that preapplication assistance is available or recommended as an option for the application type that has been recommended.,fr
The system shall allow the user to advance or return to various pages in the wizard tool to explore different decision tree paths be able to go back to a previous page and select a different answer which triggers a different series of questions.,fr
The system shall provide an option for the user to exit the wizard without electing to initiate the application process.,fr
The system shall allow a user to proceed directly to the application submission process without using the wizard in no case shall the structured process hinder an advanced user to directly and quickly interact with the Agency.,fr
The system shall be able to prompt the user to indicate whether the application is for a location or address already stored in the user profile if the user is logged in while using the wizard tool so that the user does not have to reenter location information.,fr
The system shall provide a mechanism to allow Staff to log phone calls and walkins and associated information property or location permit number application number requestor information.,fr
The system shall be able to track trends related to customer inquiries common questions that could be used to inform the information posted online track activity on a particular parcel track questions asked and responses provided to help ensure consistency in Agency responses etc.,fr
The system shall provide website analytics which allow the Agency to track customer behavior on the customer portal.,fr
The system shall provide an ability to track searches performed by the users on the customer portal to track trends.,fr
The system shall support the online intake of requests for preapplication assistance from registered users of the customer portal.,fr
The system shall only support preapplication assistance workflow for eligible application types.,fr
The system shall provide a structured configurable template including an option to upload documents for a user to submit a request for preapplication assistance that contains all the information needed for Staff to understand the proposed project and evaluate the request for the meeting.,fr
The system shall support the maintenance of multiple preapplication meeting calendars to track staff availability and existing approved meetings to assist in scheduling.,fr
The system shall support rescheduling of preapplication meetings via the calendar.,fr
The system shall support canceling of preapplication meetings via the calendar.,fr
The system shall allow users to select a preferred not guaranteed date and time online for the preapplication meeting using the calendar to view available timeslots.,fr
The system shall provide a checklistFAQs to the user to assist in determining if the user is ready to schedule a preapplication meeting or to notify them of prerequisites for the meeting.,fr
The system shall allow staff to manually log a request for preapplication in the system.,fr
The system shall allow staff to close a request for preapplication assistance if staff determines that a preapplication meeting is not needed and that an alternative response letter is more appropriate.,fr
